query_id,language,claim,gold_label,gold_evidence,retrieved_id,retrieved_language,retrieved_evidence,bm25_score,retrieved_exact_gold
afrifact_data_culture_hausa_004,hausa,Muhammadu Buhari ya zama shugan kasa na mulkin soja yana matsayin kanal.,refutes,"Muhammadu Buhari (17 Disamba 1942 – 13 Yuli 2025) ne wanda ya yi mulkin ƙasar a matsayin daga 2015 zuwa 2023. Soja ne mai matsayi na majo janar a , kuma ya shugabanci ƙasar a matsayin daga 31 Disamba 1983 zuwa 27 Agusta 1985. Buhari ya tsaya takarar shugaban ƙasa a Najeriya a ƙarƙashin jam’iyyar a zaɓen shugaban ƙasa na 2003 da na 2007, sannan kuma a ƙarƙashin jam’iyyar Congress for Progressive Change (CPC) a zaɓen shugaban ƙasa na 2011",afrifact_data_culture_hausa_002,hausa,"Muhammadu Buhari (17 Disamba 1942 – 13 Yuli 2025) ne wanda ya yi mulkin ƙasar a matsayin daga 2015 zuwa 2023. Soja ne mai matsayi na majo janar a , kuma ya shugabanci ƙasar a matsayin daga 31 Disamba 1983 zuwa 27 Agusta 1985. Buhari ya tsaya takarar shugaban ƙasa a Najeriya a ƙarƙashin jam’iyyar a zaɓen shugaban ƙasa na 2003 da na 2007, sannan kuma a ƙarƙashin jam’iyyar Congress for Progressive Change (CPC) a zaɓen shugaban ƙasa na 2011",22.522859725722803,False
afrifact_data_culture_igbo_383,igbo,"N'ịgbado ụkwụ n'oke ala nakwa ngwaahịa, Ahịa Main Market Ọnicha akaghị ahịa Arịarịa nke Aba bu ibu",refutes,Ahịa Ọnicha nke a makwaara dị ka Onitsha Main Market na bekee bụ otu n'ime ahịa kacha ibu na ọdịda anyanwụ Afrịka dabere na nha ala na oke ngwongwo ahịa a n'ere ebe ahụ.,afrifact_data_culture_igbo_381,igbo,Ahịa Ọnicha nke a makwaara dị ka Onitsha Main Market na bekee bụ otu n'ime ahịa kacha ibu na ọdịda anyanwụ Afrịka dabere na nha ala na oke ngwongwo ahịa a n'ere ebe ahụ.,57.68341011000024,False
afrifact_data_culture_yoruba_562,yoruba,"Ní orílẹ̀-èdè Nàìjíríà, ètò ìkànìyàn bẹ̀rẹ̀ Ní ọdún 1852 láti ṣe àkọsílẹ̀ iye èèyàn tó wà lórílẹ̀-èdè náà.",nei,"Gẹ́gẹ́bí àkọsílẹ̀ ètò ìkànìyàn ọdún 2006, àpapọ̀ iye enìyàn tó wà ní Àgbádárìgì jẹ́ 241,093.",afrifact_data_culture_yoruba_563,yoruba,"Gẹ́gẹ́bí àkọsílẹ̀ ètò ìkànìyàn ọdún 2006, àpapọ̀ iye enìyàn tó wà ní Àgbádárìgì jẹ́ 241,093.",47.719817806347145,False
afrifact_data_culture_igbo_173,igbo,Otu onye bi n'Anambra kwuru na ọ ruola afọ iri mmiri gbadebere na mpaghara ya.,refutes,Otu onye bi Enugwu sị na o ruola afọ iri mmiri gbadebere na mpaghara ya bi n'Enugwu.,afrifact_data_culture_igbo_172,igbo,Otu onye bi Enugwu sị na o ruola afọ iri mmiri gbadebere na mpaghara ya bi n'Enugwu.,51.45947399896688,False
afrifact_data_culture_hausa_058,hausa,Usman Dan Fodiyo ɗan asalin kabilar Hausawa ne.,refutes,Shehu Usman Ɗan Fodiyo yayi yaki a tsakanin shekarar alif dubu ɗaya da ɗari takwas da huɗu (1804) har zuwa alif dubu ɗaya da ɗari takwas da sha biyu (1812) ya fito ne daga ƙabilar Toronkawa na fulani. ya kasance daga zuriyar ɗaya daga cikin dangin (Toronkawa) na ƙabilar dake zaune a cikin tun daga farkon shekara ta alif dubu ɗaya da ɗari hudu (1400),afrifact_data_culture_hausa_060,hausa,Usman Ɗan Fodiyo ya haddace Qur'ani yana da ƙananan shekaru a rayuwarsa a ƙarƙashin kulawar mahaifinsa.,23.514075590928087,False
afrifact_data_culture_igbo_301,igbo,Naanị ikuku na ọhịa bụ ihe dị ka ọrụ ugbo mkpa iji wee ịga nke ọma,refutes,"Ọrụ ugbo chọrọ mmiri, aja di mma na ala di larịị.",afrifact_data_culture_igbo_167,igbo,Ikuku bụ otu akụrungwa dị ezigbo mkpa iji chekwaa nri.,28.213583729136865,False
afrifact_data_culture_igbo_735,igbo,"Nnamdị Kanu bụ omeiwu. Ụgbụa, a kpọgara ya ụlọ nga dị na Sokoto.",nei,N'ofesi Otu onye oji egbe agbagbuola ihe ruru mmadụ isii n'otu ụlọọgwụ dị na mba Czech Republic ma gbagbuo onwe ya n'akụkọ ebe ahụ. Ndị uweojii hụrụ ozu nwoke a dịka ọ tọgbọ site n'ọnya egbe ọ gbara onwe ya n'isi.,afrifact_data_culture_hausa_532,hausa,"Ya yi aiki a matsayin mai kula da kuɗi na cikin gida a ƙaramar hukumar , ya riƙe Daraktan kuɗi na musamman na asibitin Sokoto, daraktan kuɗi ma'aikatar ilimi ta Sokoto.",15.65468288175812,False
afrifact_data_culture_hausa_250,hausa,Masanin tarihin abinci da aikin gona James C. McCann ya ba da shawarar daina yaɗa shinkafa.,refutes,"Masanin tarihin abinci da aikin gona James C. McCann yayi la'akari da wannan ikirarin mai yiwuwa idan aka yi la’akari da shaharar shinkafa a cikin kwarin Niger ta sama, amma yana ganin ba zai yuwu tasa ta iya yaɗuwa daga Senegal zuwa inda take yanzu tunda ba a ganin irin wannan yaɗuwar a cikin “harshe, tsarin siyasa ko tarihi "". Maimakon haka ya ba da shawarar cewa tasa ta yaɗu tare da masarautar Mali, musamman masu sana'ar Djula waɗanda suka bazu ko'ina zuwa cibiyoyin kasuwanci da biranen yanki, tare da ɗaukar fasahar tattalin arziƙin ""ƙera, ƙaramin sikelin, da agronomy shinkafa"" gami da addini. na Musulunci.",afrifact_data_culture_hausa_249,hausa,"Masanin tarihin abinci da aikin gona James C. McCann yayi la'akari da wannan ikirarin mai yiwuwa idan aka yi la’akari da shaharar shinkafa a cikin kwarin Niger ta sama, amma yana ganin ba zai yuwu tasa ta iya yaɗuwa daga Senegal zuwa inda take yanzu tunda ba a ganin irin wannan yaɗuwar a cikin “harshe, tsarin siyasa ko tarihi "". Maimakon haka ya ba da shawarar cewa tasa ta yaɗu tare da masarautar Mali, musamman masu sana'ar Djula waɗanda suka bazu ko'ina zuwa cibiyoyin kasuwanci da biranen yanki, tare da ɗaukar fasahar tattalin arziƙin ""ƙera, ƙaramin sikelin, da agronomy shinkafa"" gami da addini. na Musulunci.",46.48586145321855,False
afrifact_data_culture_hausa_827,hausa,Yan majalisar sun ce su wakilan jama'a ne don haka suna da ikon yin ƙarin ayyuka a cikin kasafin.,supports,"Game da ayyukan da aka ce 'yan majalisar sun kara, ya ce su ma wakilai ne ""na jama'a kuma suna da damar sanya ayyukan da za su yi tasiri a rayuwar talaka,"" kamar yadda wata sanarwa da ya aike wa manema labarai ta ce.",afrifact_data_culture_hausa_826,hausa,"Game da ayyukan da aka ce 'yan majalisar sun kara, ya ce su ma wakilai ne ""na jama'a kuma suna da damar sanya ayyukan da za su yi tasiri a rayuwar talaka,"" kamar yadda wata sanarwa da ya aike wa manema labarai ta ce.",39.06469737018706,False
afrifact_data_culture_yoruba_701,yoruba,"Nígbà tí Buhari jẹ́ ààrẹ, ó lo sáà méjì àti àbọ̀ kí ó tó kúrò ní ipò.",refutes,"Muhammadu Buhari (tí wọ́n bí ní Ọjọ́ ketàdínlógún, Oṣù Kejìlá Odún 1942 o si ku ni Oṣu Keje ọjọ 13, Ọdun 2025) olóṣèlú tí ó jẹ́ Ààrẹ orílè-èdè láàrin ọdún 2015 sí ọdún 2023. Ó lo ṣáà àkọ́kọ́ rẹ̀ láàrin odún 2015 sí 2019 àti kejì láàrin ọdún 2019 sí 2023 .",afrifact_data_culture_yoruba_291,yoruba,"Femi Falana Gbajúgbajà agbẹjọ́rò àgbà tó tún jẹ́ ajàfẹ́tọ ọmọniyàn, Femi Falana, tí sàlàyé pé, Sunday Igboho kò lẹ́tọ̀ọ́ láti sọ pé kí ẹnikẹ́ni fi ìlú sílẹ̀, ó yẹ kí ó tẹ̀lé òfin ni. Falana sọ̀rọ̀ yìí lásìkò ìfọ̀rọ̀wérọ̀ rẹ̀ pẹ̀lú BBC l‘Ọjọru lórí ipò tí Nàìjíríà wà àti èrò rẹ̀ lórí àwọn olórí ẹ̀ṣọ́ ààbò tí ààrẹ Buhari yàn. Agbẹjọ́rò àgbà náà ní ""ìjọba gan kò létọ láti lé ẹnikẹni kúrò níbí tó wà nítori òfin Nàìjíríà gan sọ pé, lẹ́yìn ọdún mẹ́wàá tí ènìyàn bá ti gbé ní ìlú kan , ó lẹ́tọ̀ọ́ sí gbogbo ǹkan ti àwọn onílùú náà ní. Kódà kí ènìyàn jẹ́ ayálégbé, gan ó nílò àsìkò tó tó kí wọ́n tó le kúrò nínú ilé."" Ó wá rọ ìjọba ìpińlẹ̀ Oyo láti kọ́ àwọn ìbuba fún àwọn màálú.",33.439103836795766,False
afrifact_data_culture_yoruba_592,yoruba,Gbogbo ìlú tí ó wà ní ìpínlẹ̀ Kwara ni ẹ̀yà náà tẹ̀dó sí.,nei,"Àwọn méjì tí ó jẹ́ akíkanjú jùlọ ìyẹn Ajẹbú àti Olóde ni a pa orúkọ wọn pọ̀ tí ó wá di “AJẸ́BU-OLÓDE” èyí tí à ń pè ní ÌJẸ̀BÚ-ÒDE títí di òní olóni yìí. Èdè Ìjẹ̀bu ni àwọn ẹ̀yà yìí máa ń sọ. A sì le rí wọn káàkiri ilẹ̀ Nàìjíríà. Àpẹẹrẹ àwọn ìlú tí a lè rí ni ẹkùn Ìjẹ̀bú ni Ìjẹ̀bú-Òde, Musin, Ata-Ìjẹ̀bú, Imọ̀pè, Òdo-Pótu, Àgọ́-Ìwòyè, Ìjẹ̀bú-Igbó, Orù, Awà, Ìlápòrú, Ìṣònyìn, Ìpàrí-Ńlá, Òdokálàbà, Ìdọwá, Merígò, Òdoogbolú, Ọ̀ṣọṣà àti bẹ́ẹ̀ bẹ́ẹ̀ lọ.",afrifact_data_culture_yoruba_054,yoruba,"Àwọn ẹ̀yà Yorùbá Àkókó ni wọ́n kó ìdá ogún ó lé ẹ̀sún mẹ́ta (20.3%) nínú ìdá márùn ún tó lé ẹ̀sún meje (5.7%) ènìyàn tí wọn ń gbé ní . Ẹ̀Wẹ̀, agbègbè Àkókó ní ìjọba ìbílẹ̀ mẹ́rin, àwọn ni: , , àti , tí ó fi mọ́ tí ó wà ní àárín àti . Ilé ẹ̀kọ́ fásitì náà wà nílú Bákan náà ni ilé-ìwòsàn ti ìjọba ìpínlẹ̀ wà ní ìlú , nígbà tí ilé-ìwòsàn gbogbo-gbòò ti ìjọba náà wà ní ìlú àti ìlú .",35.69489582186893,False
afrifact_data_culture_igbo_273,igbo,"Mmanya ndị dị ka fanta, coke na sprite na-amasị ụmụaka iji je akwụkwọ",nei,"Eji aha dị iche iche mara ya na mpaghara dị iche iche ma bụrụkwa ihe a na-ahụkarị na mpaghara Eshia, Africa, Caribbean, South America na Micronesia . ",afrifact_data_culture_igbo_776,igbo,"BBC Igbo jụrụ ndị mmadụ na-eso anyị na Facebook ajụjụ ihe ha na-atụnye ego iji mee onwe ha obiụtọ na ihe ọ na-eri ha n'izu. Ọtụtụ kwuru na ihe na-amasị ha gụnyere ịṅụ manya 'beer', mmanya ọtọbịrịbịrị, nkwọbi, azụ ndụ amịrị amị, 'data' e ji aga n'ịntanetị nakwa ego e ji akpọ ekwentị. ",19.112297441322955,False
afrifact_data_culture_hausa_509,hausa,"Hadisi na nufin faɗar Annabi Sallallahu Alaihi Wasallama, aikin sa da kuma tabbatarwarsa.",supports,A wajen su ma’anar Hadisi shi ne Hakaito Fadar Manzon Allah [S.A.W] Aikinsa da kuma Tabbatarwarsa.,afrifact_data_culture_hausa_508,hausa,A wajen su ma’anar Hadisi shi ne Hakaito Fadar Manzon Allah [S.A.W] Aikinsa da kuma Tabbatarwarsa.,21.116590937600407,False
afrifact_data_culture_hausa_515,hausa,Sunna na nufin abinda Annabi (S.A.W) ya yi ko aka yi a gabansa bai hana ba.,supports,"Asalin sunan ya zo ne daga kalmar Sunna , wato koyi da yin dukkan abun da Annabi (S.A.W.) ya aikata, ko ya yi umarni, da a aikata ko kuma aka aikata shi a gabansa amma baiyi hani akan abun da aka aikatan ba.",afrifact_data_culture_hausa_515,hausa,"Asalin sunan ya zo ne daga kalmar Sunna , wato koyi da yin dukkan abun da Annabi (S.A.W.) ya aikata, ko ya yi umarni, da a aikata ko kuma aka aikata shi a gabansa amma baiyi hani akan abun da aka aikatan ba.",48.78555261225061,True
afrifact_data_culture_igbo_604,igbo,Ọnụọgụ mmadụ puku abụọ na itoolu anwụọla na mba Kenya n'ihi nje Ebola.,nei,A na-eche na ọtụtụ mmadụ anwụọla na mpaghara Festac dị na Legọs a na-akpọ Abule Ado dịka igwe na-ebu gassị nwuru ọkụ ma gbaa ka ogbunigwe n'ụtụtụ Sọnde. Ebe a mberede a mere dị n'okpuru ọchịchi Amaọdofin. Onye ntaakụkọ BBC nọ n'ebe ahụ n'akọwa na-ana eme nyocha ka achọpụta ụdịrị mmanụ igwe ahụ bụ. Ndị ọrụ gbata gbata dị iche iche nọkwa ebe ahụ.,afrifact_data_culture_igbo_602,igbo,"Kenya emechiela ụlọakwụkwọ n'ihi cioronavirus Onyeisiala Uhuru Kenyatta machikwara ndị si mba ebe coronavirus na-akpa ike ịbata mba Kenya Mba Kenya emechiela ụlọakwụkwọ niile dị na mba ahụ iji gbochie mgbasa ọrịa coronavirus, dịka mmadụ abụọ ọzọ butere ya bụ ọrịa.",30.403997988056254,False
afrifact_data_culture_igbo_029,igbo,Ozi a ha wepụtara adịghị n'akara twitter ha.,refutes,Nke a dị n'ozi ha wepụtara n'akara twitter ha.,afrifact_data_culture_igbo_030,igbo,Nke a dị n'ozi ha wepụtara n'akara twitter ha.,41.26570075783781,False
afrifact_data_culture_yoruba_292,yoruba,Jude Chukwuka: Wò ó bí oríkì àwọn ìlú Yorùbá ṣe yọ̀ lẹ́nu ọmọ Igbo jú ọmọ onílùú lọ.,nei,"Agba amofin naa gba awọn gomina mejeeji yii ni gbolohun nitori abẹwo ti wọn se sọdọ aarẹ Buhari lọjọru lori eto aabo to mẹhẹ nipa ọsẹ tawọn ọdaran darandaran n se. Bẹẹ ba gbagbe, gomina Makinde ati Akeredolu lo tọ Buhari lọ nilu Abuja lati beere fun afikun eto aabo to peye, nitori ọwọja awọn ọdaran darandaran to gogo nipinlẹ koowa wọn. Àwọn iròyin tì ẹ leè ní ìfẹ̀ síí: Makinde, to bawọn akọroyin sọrọ lẹyin ipade wọn pẹlu aarẹ si ni oun lo anfaani abẹwo naa lati beere fun agbekalẹ afikun ileesẹ ọlọpaa kogberegbe nipinlẹ toun. Ifọrọwerọ pẹlu Gani Adams lori ọrọ Sunday Igboho Amọ Falana, lasiko to n takurọsọ pẹlu awọn akọroyin ni, awọn gomina yiii ni ipese eto aabo to peye wa nikawọ wọn, pẹlu ileesẹ ọlọpaa, ko si yẹ ki wọn lọ sọdọ aarẹ. Agba amofin naa woye pe aarẹ lo n dari ileesẹ ologun nilẹ Naijiria, kii se ileesẹ ọlọpaa, ko ba si san ko jẹ pe ọdọ ajọ to n sakoso ileesẹ ọlọpaa nilẹ wa, ni wọn gbe ibeere wọn lọ.",afrifact_data_culture_yoruba_305,yoruba,"Ìyá ọlọ́mọ mẹ́ta ọ̀hún sọ pé ìbànújẹ́ òun maa n wáyé látara bí àwọn ènìyàn ṣe maa n wo òun, àti ìhùwàsí wọn si i lójoojúmọ́. Fídíò mánigbàgbé nípa ìgbà ayé Bàbá Sala ""Ní ìbẹ̀rẹ̀ pẹ̀pẹ̀, mó maa n bi ara mi lérè pé kí lódé tí Ọlọrun fún mi nírú ọmọ bẹ́ẹ̀.'' Abílékọ Mutemi, tó n gbé l'ábúlé Katoloni ní ẹkùn ìlà oorùn Kenya sọ pé ''Ó ṣòro fún mi láti rìn láàrin ìlú pẹ̀lú ọmọ mi, nítorí ojú burúkú tí àwọn ènìyàn fí n wò mí. Agnes sọ pé àìsàn tí wọ́n n pè ní Asphyxia ni ọmọ òun ní. Àìsàn nàá maa n jẹyọ tí ọmọ tuntun kò bá rí atẹ́gùn gbà sára lásìkò tí ìyá rẹ̀ bá n rọbí. Èyí ló fà á tí ẹsẹ̀ rẹ̀ kò ṣe ní àláàfíà, tí wàhálà sí bá ọpọlọ rẹ̀ nàá. Bí o ṣe gba ìwòsàn Lẹ́yìn ọ̀pọ̀lọpọ̀ àbẹ̀wò sí iléèwòsàn, Agnes lọ fi orúkọ ọmọ rẹ̀ sílẹ̀ ní ìléèwé kan tó n kọ́ àwọn ọmọdé nígbà tó wà l'ọ́mọ ọdún mẹ́ta.",22.0249429177346,False
afrifact_data_culture_yoruba_791,yoruba,Ẹ̀sìn ìsìláàmù jẹ́ àṣà tí Ọlọ́run ń lò láti fi ránṣẹ́ sí ànọ́bì kí àlàáfíà àti ìrọ̀rùn lè wà láàárín gbogbo ọmọnìyàn.,refutes," jẹ́ ẹ̀sìn àlááfíà,ìrọ̀rùn àti ìjupá-jusẹ̀ sílẹ̀ fún Ọlọ́run aṣẹ̀dá gbogbo ayé nípa ṣ́iṣe ìfẹ́ àti títèlé àṣẹ rẹ̀ yálà o tẹ́ ọ lọ́rùn tàbí kò tẹ́ ọ lọ́rùn. Ó tún jẹ́ ẹ̀sin tí Ọlọ́run tún fi ránṣẹ́ sí gbogbo ayé látọwọ́ àwọn òjíṣ̣́e rẹ̀ tó ti rán wá ṣáájú ànọ́bì ọmọ Abdullah (kí ìkẹ́ àti ọlà Ọlọ́hun ó ma bá a). ",afrifact_data_culture_yoruba_790,yoruba," jẹ́ ẹ̀sìn àlááfíà,ìrọ̀rùn àti ìjupá-jusẹ̀ sílẹ̀ fún Ọlọ́run aṣẹ̀dá gbogbo ayé nípa ṣ́iṣe ìfẹ́ àti títèlé àṣẹ rẹ̀ yálà o tẹ́ ọ lọ́rùn tàbí kò tẹ́ ọ lọ́rùn. Ó tún jẹ́ ẹ̀sin tí Ọlọ́run tún fi ránṣẹ́ sí gbogbo ayé látọwọ́ àwọn òjíṣ̣́e rẹ̀ tó ti rán wá ṣáájú ànọ́bì ọmọ Abdullah (kí ìkẹ́ àti ọlà Ọlọ́hun ó ma bá a). ",66.12110379024321,False
