id,language_original,claim_original,gold_evidence_original,gold_label_original,raw_response_original,predicted_label_original,correct_original,language_translated,claim_translated,gold_evidence_translated,gold_label_translated,raw_response_translated,predicted_label_translated,correct_translated,gold_label,language,original_prediction,translated_prediction,original_correct,translated_correct,transition,original_claim_length,original_evidence_length,total_original_text_length
afrifact_data_culture_hausa_553,hausa,Bara wata sana'a ce da ta keɓanta ga ƙananan yara kawai.,Mabarata ba su karkashin wata makaranta kuma zasu iya zama yara ko manya ko tsofaffi.,refutes,nei,nei,False,hausa,Begging is a profession that is only for small children.,"Beggars are not under any school and they can be children, adults or old people.",refutes,refutes,refutes,True,refutes,hausa,nei,refutes,False,True,wrong_to_correct,56,85,141
afrifact_data_culture_yoruba_200,yoruba,"Nínú àtẹ̀jáde kan tí wọ́n fi síta fún àwọn oníròyìn, kò sí ẹnìkankan látìmọ́lé nínú àwọn olùwọ́de Endsars.","Kọmisana feto idajọ ati agbẹjọro agba nipinlẹ Eko, Moyosore Onigbanjo SAN, ti rọ ileẹjọ lati tu awọn oluwọde EndSARS silẹ. Awọn oluwọde naa lo to ọtalerugba o din meje 253 ninu ọtalelọọdunrun ati ẹyọ kan, 361 to wa ni atimọle ọlọpaa nipinlẹ naa. Atẹjade kan tileesẹ eto idajọ fisita fawọn akọroyin lo sisọ lori igbesẹ naa",refutes,nei,nei,False,yoruba,"In a press release, none of the Endsars attackers were arrested.","The commissioner of judicial veto and senior lawyer in Lagos state, Moyosore Onigbanjo SAN, has urged the court to release the EndSARS detainees. The arrestees used 7,253 out of 1,100, 361 in police custody in the state. A press release following the justice system allowed a reporter to comment on the move",refutes,refutes,refutes,True,refutes,yoruba,nei,refutes,False,True,wrong_to_correct,127,321,448
afrifact_data_culture_yoruba_788,yoruba,"Ẹ̀sìn ìsìlámù níí ṣe pẹ̀lú àìṣòdodo, èyí sì ń darí gbogbo ènìyàn sí ohun tí yóò ṣe ànfààní fún wọn.","Ìsìlámù ni ẹ̀sìn tí ó ṣe pé ìmọ̀-Ọlọ́hun ni (al- Taoheed) ní ìpìl̀ẹ rè, òdodo ni òpó rẹ̀, ó dá lórí déédé,otito. Òhun sì ni ẹ̀sìn tí ó gbópọn tí ó jẹ́ pé ó ń darí gbogbo ẹ̀dá sí ibi gbogbo ohun tí yó̀o jẹ́ ànfààní fún wọn ní ọ̀run àti ayé wọn. Bẹ́ẹ̀ náà ni ó sì tún ń kì wọ́n nílọ̀ nípa gbogbo ohun tí yó̀o ṣaburú fún wọn yálà láyé ni tàbí ni ọ̀run.",refutes,supports,supports,False,yoruba,"Islam has to do with injustice, and this leads everyone to what will benefit them.","Islam is the religion that believes that the knowledge of God (al-Taoheed) is its foundation, righteousness is its pillar, it is based on consistency, truth. And what is the great religion which is that it leads all creatures to all the things that will be beneficial for them in heaven and their world. In the same way, he also keeps them from going about everything that will be bad for them whether it is in the world or in heaven.",refutes,refutes,refutes,True,refutes,yoruba,supports,refutes,False,True,wrong_to_correct,99,349,448
afrifact_data_culture_igbo_481,igbo,Lawrence Ifeanyi Ugwuanyi bụ eze ọdịnaala ndị Ovoko dị n'ime ime obodo Igboeze Federal Constinuency nke Enugu State.,Ọ bụ Onye otu ụlọ nnọchiteanya nke of Nigeria ruo afọ iri na abụọ. Ọ bụ onye so na (PDP) onye nọchitere anya Igboeze North / Udenu Federal Constinuency nke Enugu State.,refutes,nei,nei,False,igbo,Lawrence Ifeanyi Ugwuanyi is the traditional king of the Ovoko people in Igboeze Federal Continuity of Enugu State.,He was a Member of the House of Representatives of Nigeria for twelve years. He is a member of the (PDP) representing Igboeze North/Udenu Federal Constituency of Enugu State.,refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct,116,168,284
afrifact_data_culture_igbo_427,igbo,Alexander Ekwueme gụrụ akwụkwọ na Mahadum nke Nigeria ma nweta nzere Bachelo tupu ọ gawa ala Bekee,"Dị ka onye nwetara Fulbright Scholarship na United States of America (bụ otu n'ime ndị Naijiria mbụ nwetara onyinye ahụ), Ọ gara Mahadum Washington ebe ọ nwetara nzere bachelọ na Architecture na nhazi obodo. ",refutes,nei,nei,False,igbo,Alexander Ekwueme studied at the University of Nigeria and obtained a Bachelor's degree before moving to England,"As a recipient of a Fulbright Scholarship in the United States of America (being one of the first Nigerians to receive the award), He attended the University of Washington where he obtained a Bachelor's degree in Architecture and Urban Planning.",refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct,98,208,306
afrifact_data_culture_yoruba_167,yoruba,Táyé Taiwò gbá bọ́ọ̀lù nínú líìgì àgbábuta orílẹ̀-èdè South Africa fún ọdún márùn-ún.," International. Wọ́n ra Taiwo wá si ìpele Nigeria Premier League, sínú ẹgbẹ́ agbábọ́ọ̀lù Lobi Stars. Níbi tí ó tún ti lo ọdún kan . Olympique de Marseille [ | ] Ní ọdún 2005, nígbà tí ó pé ọmọ ogún ọdún, ẹgbẹ́ agbábọ́ọ̀lù ilẹ̀ Faranse kan ti o n je Olympique de Marseille gba Taiwo sinu iko won. Won ra Taiwo lati le ropo ogbeni Bixente Lizarazu ti o ti lo sinu egbe agbaboolu Bayern Munich. Taiwo lo gba boolu ti iko re Olympic Marseille fi jawe olubori",refutes,nei,nei,False,yoruba,Tayé Taiwo played football in the South African national league for five years.,"International. They bought Taiwo to the Nigerian Premier League, into the Lobi Stars football team. Where he also spent a year. Olympique de Marseille [| ] In 2005, when he was 20 years old, a French football club called Olympique de Marseille took Taiwo into their possession. They bought Taiwo in order to replace Mr. Bixente Lizarazu who has gone to the Bayern Munich soccer team. Taiwo took the ball and Olympic Marseille became the winner",refutes,refutes,refutes,True,refutes,yoruba,nei,refutes,False,True,wrong_to_correct,105,454,559
afrifact_data_culture_hausa_079,hausa,Allah ya karbi ran Ado Bayero a garin Landan bayan ya sha fama da rashin lafiya.,"A ranar 6 ga watan Yuni shekarata 2014, bayan shekaru hamsin da dayayi akan kursiyin, Ado Bayero ya mutu a fadarsa",refutes,nei,nei,False,hausa,God took the life of Ado Bayero in London after suffering from illness.,"On June 6, 2014, after fifty years on the throne, Ado Bayero died in his palace.",refutes,refutes,refutes,True,refutes,hausa,nei,refutes,False,True,wrong_to_correct,80,114,194
afrifact_data_culture_hausa_304,hausa,Awara abinci ne mai ɗanɗano wanda aka yi gaba ɗaya da alkama,"Awara dai anayin ta ne da waken suya, inda ake niƙa waken a tace ƙullun waken a Dora Shi Akan wuta saiya taso yatausa sannan asamishi ruwan tsami Ko tsamiya zaaga yafara Hada jikinta Sai Asami buhu Ko abin Tata Mai kyau Mai tsafta adinga kwashewa sannan a tsaneta Idan ruwanta yagama fitasannan a yanka a soya a wurin soyawan wasu Sukan Saka Mata Kwai yadanganta da raayin mutum.",refutes,nei,nei,False,hausa,Awara is a savory food made entirely of wheat,"Awara is used to make soy beans, where the beans are ground and filtered, the beans are placed on the fire until it becomes soft, and the sour cream or sour cream is added to the body.",refutes,refutes,refutes,True,refutes,hausa,nei,refutes,False,True,wrong_to_correct,60,379,439
afrifact_data_culture_hausa_334,hausa,Dambe wasa ne na rukuni mai sauƙi wanda akeyi da ƙwallon ƙafa,Dambe fasaha ce ta gwagwarmayar Hausawa daga kasar Najeriya. Masu fafatawa a cikin wasan wasa na yau da kullun suna son su rinjayi junansu cikin jimlar kaddamarwa galibi a cikin zagaye uku. Sau da yawa yana haifar da munanan raunuka na jiki ga masu kalubalen kamar karyayyun mukamuki da hakarkari.,refutes,nei,nei,False,hausa,Boxing is a simple team sport similar to football,Boxing is a martial art of Hausas from Nigeria. Competitors in a regular game like to beat each other in total launch usually in three rounds. It often causes serious physical injuries to the challengers such as broken jaws and ribs.,refutes,refutes,refutes,True,refutes,hausa,nei,refutes,False,True,wrong_to_correct,61,297,358
afrifact_data_culture_yoruba_323,yoruba,"Wọ́n filé pọ̀ntí, wọ́n fọ̀nà rokà níbi ìgbéyàwó ọmọ Buhari, tí ọ̀pọ̀ ènìyàn sí péjú pésẹ síbẹ̀, láìbìkítà nípa àwọn ìlànà Covid-19.","""Igbeyawo ọmọ Aarẹ Buhari jẹ ọkan gboogi lara awọn igbeyawo onirẹlẹ julọ ti awọn to n tukọ ijọba yoo ṣe ninu itan orilẹ-ede Naijiria."" Ni ti fidio kan to n tan kalẹ lori ayelujara, nibi ti tọkọ-taya ti n jo ti awọn eeyan kan si n na wọn lowo, Aliyu ni kii ṣe ile ijọba ni Abuja ni wọn ti ya fidio ọhun, ṣugbọn iṣẹlẹ naa waye lẹyin ti iyawo dele ọkọ rẹ tan ni Kaduna. Aliyu ni iyawo Aisha Buhari mọ pe arun Covid-19 ṣi wa lawujọ, nitori naa lo ṣe ri daju pe gbogbo awọn to peju sibi igbeyawo ọmọ rẹ tẹle ilana ijinasiraẹni ti awọn eleto ilera gbe kalẹ.",refutes,supports,supports,False,yoruba,"They threw a party, they threw rock at the wedding of Buhari's son, and many people gathered there, not caring about the Covid-19 regulations.","""The marriage of President Buhari's son is one of the most humble weddings that those who are building the government will do in the history of Nigeria."" Regarding a video that is spreading on the internet, where the tires are burning and some people are beating them, Aliyu said it was not the government building in Abuja where the video was taken, but the incident happened after the wife left her husband in Kaduna. Aliyu, Aisha Buhari's wife, knows that the Covid-19 disease is still prevalent in the society, so she made sure that all those attending her son's wedding follow the hygiene guidelines laid down by the health authorities.",refutes,refutes,refutes,True,refutes,yoruba,supports,refutes,False,True,wrong_to_correct,159,551,710
afrifact_data_culture_igbo_013,igbo,"Bianca Ojukwu bụ nwaanyị nke abụọ bụ onyeisi n'ụlọọrụ ""Nigerian Stock Exchange"" ","Ọ bụ nwaanyị mbụ nọ n'oche ọchịchị dịka onyeisi n'ụlọọrụ ""Nigerian Stock Exchange"".",refutes,nei,nei,False,igbo,Bianca Ojukwu is the second female CEO of the Nigerian Stock Exchange.,She is the first woman to hold a position as the head of the Nigerian Stock Exchange.,refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct,80,83,163
afrifact_data_culture_igbo_191,igbo,Ndị Awụsa bụ ndị bi ne ebe ugwu nke Ọ̀hà Delta na Ọ̀hà Rivas,Ọ bụkwa ndi Ìgbò bi na ebe ugwu nke Ọ̀hà Delta na Ọ̀hà Rivas.,refutes,nei,nei,False,igbo,The Awsa people live in the northern parts of Delta and Rivas,It is also the Igbo people who live in the northern part of Delta River and River Rivas.,refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct,60,61,121
afrifact_data_culture_hausa_238,hausa,An gina kasuwar kurmi a cikin gundumar sahara.,"An kafa kasuwar Kurmi a cikin karni na goma sha biyar (15) a matsayin cibiyar kasuwanci da adana kayayyaki don cigaban kasuwanci a cikin birni, sakamakon fadada kasuwancin yanki da Sahara. An Kuma gina ta a cikin gundumar Jakara na cikin birni. ",refutes,nei,nei,False,hausa,A forest market was built in the Sahara district.,"The market of Kurmi was established in the fifteenth century (15) as a center of trade and storage of goods for the development of business in the city, as a result of the expansion of trade in the region and the Sahara. It was built in the Jakara district of the city.",refutes,refutes,refutes,True,refutes,hausa,nei,refutes,False,True,wrong_to_correct,46,245,291
afrifact_data_culture_igbo_697,igbo,R.Kelly mara onwe ya ikpe n'ebubo niile e boro ya.,R. Kelly sị na aka ya dị ọcha n'ebubo mmetọ ọhụrụ Otiegwu a ma ama na mba Amerịka bụ R.Kelly ekwuola na aka ya dị ọcha n'ebubo na o metọrọ ụmụaka iri na atọ na Chicago gụnyere ebubo onye ọhụru. Onye nke ọhụrụ a kpọrọ 'Minor Six' so na ebubo ọ hụụ ahụ.,refutes,nei,nei,False,igbo,R.Kelly pleaded guilty to all charges against him.,"R. Kelly says he is innocent of the new molestation charges The famous American singer, R. Kelly, has said he is innocent of the allegations that he molested 13 children in Chicago, including a witness. A new person called the 'Minor Six' is among the accused.",refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct,50,251,301
afrifact_data_culture_igbo_299,igbo,"Na 1957, Ozumba Mbadiwe weere ọkwa dịka ọka ikpe n'ụlọ ike kacha elu nke Naịjirịa. ","Na 1957, e mere ya Minister nke Azụmahịa.",refutes,nei,nei,False,igbo,"In 1957, Ozumba Mbadiwe took office as a judge in the highest court of Nigeria.","In 1957, he was made Minister of Commerce.",refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct,83,41,124
afrifact_data_culture_hausa_019,hausa,Hatsarin mota ne yayi sanadiyyar mutuwar Murtala Muhammad a Legas.,An kashe Murtala Muhammad ne bayan sallar asuba kuma an harbe shi ne da bindiga bayan ya fito masallaci a hanyar sa ta komawa gidan sa dake cikin garin Legas inda wani da ake kira Buka Suka Dimka ya harbe shi da bindiga.,refutes,nei,nei,False,hausa,Murtala Muhammad died in a car accident in Lagos.,Murtala Muhammad was killed after morning prayer and he was shot with a gun after leaving the mosque on his way back to his home in Lagos where a person called Buka Suka Dimka shot him with a gun.,refutes,refutes,refutes,True,refutes,hausa,nei,refutes,False,True,wrong_to_correct,66,220,286
afrifact_data_culture_yoruba_464,yoruba,Ìròyìn fi lélè pé ìyanṣẹ́lódí náa yóò wá sópin nítorí àwọn ọmọ ẹgbẹ́ ASUU tí gba ohun tí ìjọba fi lélẹ̀.,"Ọmọwe Ashiru sọ pe iyansẹlodi si n lọ lọwọ, nitori pe awọn ko tii yanjú ọrọ pẹlu ijọba apapọ. O sọ eyi gẹgẹ bi esi si ikede ti ijọba apapọ Naijiria fi sita pe oun yoo ṣepade pẹlu ẹgbẹ ASUU ni ọsẹ yii lati yanju nkan to mu ki ẹgbẹ naa wa ni iyansẹlodi fun ọpọlọpọ oṣu. Ninu ifọrọwanilẹnu kan to ṣe pẹlu ileesẹ iroyin Channels, Minisita fun eto igbani sisẹ ati ọrọ awọn oṣiṣẹ, Ọmọwe Chris Ngige fidi rẹ mulẹ pe ijiroro yoo bẹrẹ pada pẹlu awọn olori ẹgbẹ awọn oṣiṣẹ agba ni fasiti, SSANU ati awọn alasẹ eto ẹkọ lati yanju ọrọ to wa laarin ijọba ati ẹgbẹ ASUU. Ọmọwe Ngige ni oun ni ireti oun ni pe wọn o ri ọrọ naa yanjú ni ọsẹ yii , ti eto ẹkọ yoo si bẹrẹ pada ni awọn Fasiti. Bakan naa lo sọ pe ijọba apapọ ń ṣe awọn ipade miran labẹnu, nibi ti wọn ti ṣe akọsilẹ awọn nkan pataki ti yoo yanju ọrọ naa. Ilana imọ ẹ̀rọ tuntun ti ijọba fẹ ẹ ma fi san owo osu awọn olukọ naa (Integrated Payroll and Personal Information System, IPPIS) lo fa iyansẹlodi tí ASUU gunle. Aarẹ ẹgbẹ ASUU, Biodun Ogunyemi sọ pe inira ni ilana tuntun naa yoo mu ba awọn ọmọ ẹgbẹ rẹ.",refutes,nei,nei,False,yoruba,Reports suggest that the assignment will end because of ASUU members who accepted what the government gave.,"Scholar Ashiru said that the conflict is still going on, because they have not resolved the issue with the federal government. He said this in response to the announcement by the federal government of Nigeria that he will meet with the ASUU group this week to resolve the issue that has kept the group in conflict for several months. In an interview with Channels News, the Minister of Employment and Labor Affairs, Academician Chris Ngige confirmed that the dialogue will resume with the leaders of the senior staff union in the university, SSANU and the educational institutions to resolve the issue between the government and the ASUU union. He is a Ngige scholar and he hopes that the matter will be resolved this week, and the education system will resume in the universities. He also said that the federal government is holding other internal meetings, where they have documented the important things that will solve the issue. The new technology system that the government wants to use to pay the salaries of the teachers (Integrated Payroll and Personal Information System, IPPIS) is the cause of the ASUU's protest. The president of ASUU, Biodun Ogunyemi said that the new policy will bring hardship to its members.",refutes,refutes,refutes,True,refutes,yoruba,nei,refutes,False,True,wrong_to_correct,125,1053,1178
afrifact_data_culture_igbo_197,igbo,Akụkọ a ma ama na-ekwu na-ekwu na onye atọ a mara nke ọma n'Akwete bụ Dada Nwakata,Akụkọ ọdịnala a ma ama na-ekwu na otu nwanyị aha ya bụ Dada Nwakata bụ onye mbụ a maara nke ọma na Akwete.,refutes,supports,supports,False,igbo,A popular story says that the third person who is well known in Akwete is Dada Nwakata,A popular tradition says that a woman named Dada Nwakata was the first known person in Akwete.,refutes,refutes,refutes,True,refutes,igbo,supports,refutes,False,True,wrong_to_correct,82,106,188
afrifact_data_culture_igbo_581,igbo,Ọ dịghị mkpa ka a kuziere ụmụaka otu e si akpata na otu e si emefu ego,"Malite n'oge kuziwere ụmụ gị etu e si edokọba ego Ikuziri nwatakịrị maka mkpata na mmefu n'oge ga-eme ka ọ mara etu ọ ga-esi chekwa ego na akụnaụba, nke ga-enyere ya aka ruo mgbe ọ ga-abụ okenye. Ụmụaka na-esi na ngosipụta amụta ihe, nke bụ na ị bụrụ onye na-emezi ego ọfụma, ọ gaghị ara ha ahụ ịmụta ya n'aka gị.",refutes,nei,nei,False,igbo,There is no need to teach children how to earn and how to spend money,"Start at an early age to teach your children how to save money Teaching a child about impulse and spending in time will make him know how to save money and wealth, which will help him until he becomes an adult. Children learn from demonstration, which is that if you are a good money maker, they will not get used to learning from you.",refutes,refutes,refutes,True,refutes,igbo,nei,refutes,False,True,wrong_to_correct,70,313,383
