id,language,gold_label,claim,gold_evidence,primary_error_type,secondary_error_type,contradiction_explicitness,requires_world_knowledge,translation_issue_present,annotation_suspected,review_notes
afrifact_data_culture_igbo_347,igbo,refutes,"Na Republic nke abụọ nke Nigeria, P.N. Okeke-Ojiudu ji ọkwa Gọvanọ Anambara. ","Ọ bụ Mịnịsta na-ahụ maka ọrụ ugbo site na 1959-1966, oge akpọrọ Nigeria First Republic . ",role_relation_mismatch,temporal_mismatch,implicit,no,uncertain,no,Claim assigns governorship of Anambra in the Second Republic; evidence assigns a ministerial agriculture role during 1959-1966/First Republic.
afrifact_data_culture_igbo_625,igbo,refutes,Henrietta Yakubu gwara ndị na-eme njem ụgbọelu ka ha na-eyichi ahụ ha nke ọma maka oyi.,"Yakubu kwuru sị ""Anyi ga-eme ọtụtụ nyocha maka ahụike, nke gụnyere igbu nje nwereike ị nọ n'akpa mmadụ. Ihe ndịa ga-ewe ọtụtụ oge nke mere na ọ dị mkpa ka ọnye ụgbọelu ya ga-apụ ihe dika elkere iri ka ọ bịa ọdọ ụgbọelu n'ihe dịka elekere asaa"". ",evidence_insufficient,possible_annotation_issue,ambiguous,no,uncertain,yes,Evidence concerns health screening and early airport arrival; it does not directly address or contradict advice to dress warmly for cold weather.
afrifact_data_culture_yoruba_077,yoruba,refutes,"Ọjọ́ kẹtàdínlọ́gbọ̀n, oṣù kẹta, ọdún 2020 ni òfin yìí ò ní ṣiṣẹ́ mọ́.","Oyo kéde pé kí àwọn òṣìṣẹ́ ìjọba dáwọ́ iṣẹ́ dúró nítorí coronavirus Ijọba ipinlẹ Ọyọ ti ti ilẹkun ileeṣẹ ijọba pa fun ọsẹ meji gbako nitori itankalẹ aarun coronavirus nipinlẹ naa. Gomina ipinlẹ naa, Seyi Makinde lo kede bẹ ẹ ninu atẹjade kan to fi sita loju opo Twitter rẹ lọjọru. Aṣẹ naa yoo bẹrẹ iṣẹ ni ọjọ Ẹti, ọjọ kẹtadinlọgbọn, oṣu Kẹta, ọdun 2020.",temporal_mismatch,negation,explicit,no,no,no,Claim says the rule would stop operating on 27 March 2020; evidence says the directive would begin on that date.
afrifact_data_culture_yoruba_158,yoruba,refutes,Èdè Yorùbá àti èdè Kwa kò fi ibì kankan ní ìbátan rárá àti rárá.," Èdè Yorùbá jẹ́ èdè kan ti ó gbalẹ̀ tí ó sì wuyì káàkiri àgbáyé. Ìtàn sọ fún wa pé ìbátan ní èdè Yorùbá jé, kwa jẹ́ ẹ̀yà kan ní apá . A lè sọ pé àwọn tí wọ́n ń sọ èdè Yorùbá yàtọ̀ sí orílẹ̀ èdè Nàìjíríà lé ní Ọgbọ̀n mílíọ̀nùn tàbì jù bẹ́ẹ̀ lọ.",negation,role_relation_mismatch,explicit,no,uncertain,no,Claim denies any relationship between Yoruba and Kwa; evidence states a relationship.
afrifact_data_culture_yoruba_179,yoruba,refutes,"Òrìṣà ńlá tí wọ́n máa ń gbóríyìn fún ni Ṣági fún agbára rẹ̀ láti lè pèsè owó, ọlá, àti àṣeyọrí fún àwọn olùsìn rẹ̀.","Àwọn Yorùbá gbà gbọ́ pé Olókun ní ó bí Aje, èyí tí ó jẹ́ Òrìsà fún Ọrọ̀, Ọlá, tí ó wà ní ìsàlẹ̀ òkun. Olókun jẹ́ òrìsà tí ó ń darí àwọn ohun tí ó wà lábé Omi òkun, Ó sí jẹ́ òrìsà tí ó lágbára jù gbogbo ohùn tí ó wà lábé Omi òkun tàbí àwọn òrìṣà kékéèèké tí ó wà lábé Omi òkun. Olókun jẹ́ Òrìsà nlá tí wọn máa ń gbórínyìn fún nípa bí ó ti lágbára láti fún àwọn olúsín rẹ ní Owó, Ọlá, Ọrọ̀, àti àṣeyọrí nígbà tí wọn bá kìí tán. ",entity_attribute_mismatch,role_relation_mismatch,explicit,no,no,no,"Claim attributes wealth, honour and success powers to Sagi; evidence attributes these powers to Olokun."
afrifact_data_culture_yoruba_290,yoruba,refutes,Sunday Igboho ni àwọn ará Kebbi àti Zamfara kọ́ ló n jínígbé ní Oke Ogun.,"Femi Falana Gbajúgbajà agbẹjọ́rò àgbà tó tún jẹ́ ajàfẹ́tọ ọmọniyàn, Femi Falana, tí sàlàyé pé, Sunday Igboho kò lẹ́tọ̀ọ́ láti sọ pé kí ẹnikẹ́ni fi ìlú sílẹ̀, ó yẹ kí ó tẹ̀lé òfin ni. Falana sọ̀rọ̀ yìí lásìkò ìfọ̀rọ̀wérọ̀ rẹ̀ pẹ̀lú BBC l‘Ọjọru lórí ipò tí Nàìjíríà wà àti èrò rẹ̀ lórí àwọn olórí ẹ̀ṣọ́ ààbò tí ààrẹ Buhari yàn. Agbẹjọ́rò àgbà náà ní ""ìjọba gan kò létọ láti lé ẹnikẹni kúrò níbí tó wà nítori òfin Nàìjíríà gan sọ pé, lẹ́yìn ọdún mẹ́wàá tí ènìyàn bá ti gbé ní ìlú kan , ó lẹ́tọ̀ọ́ sí gbogbo ǹkan ti àwọn onílùú náà ní. Kódà kí ènìyàn jẹ́ ayálégbé, gan ó nílò àsìkò tó tó kí wọ́n tó le kúrò nínú ilé."" Ó wá rọ ìjọba ìpińlẹ̀ Oyo láti kọ́ àwọn ìbuba fún àwọn màálú.",evidence_insufficient,possible_annotation_issue,ambiguous,no,uncertain,yes,Evidence discusses Igboho's authority to order people to leave and legal rights of residents but does not clearly resolve the kidnapping attribution in the claim.
afrifact_data_culture_yoruba_377,yoruba,refutes,Àwọn ará-ìlú kọ̀ láti gbóríyìn fún Oṣinbajo fún iṣẹ́ takuntakun tó ṣe láti ri pé ètò ọrọ̀-ajé  ń lọ bó ṣe yẹ.,"Ko si idi meji tawọn ọmọ orilẹ-ede Naijiria fi n kan saara si Ọjọgbọn Oṣinbajo, ju awọn igbesẹ akọ to gbe lasiko to fi n dele fun aarẹ Muhammadu Buhari fun ọjọ mẹwaa to lọ lo fun isinmi laipẹ ati latẹyin wa. Amọ ṣa, gẹgẹ bii oloṣelu to wa lati ẹkun guusu orilẹ-ede Naijiria, ko daju pe Ọṣinbajo yoo lee dide dije fun ipo aarẹ lasiko idibo apapọ ọdun to n bọ, nitori ilana yan-ki-n-yan eleyi ti wọn fi le ori eto idipo-mu laarin ẹkun ariwa ati guusu orilẹ-ede naa. 'Ipaniyan ati ifiyajẹni lọna ti ko bofinmu lọwọ awọn ọlọpaa' Laipẹ yii ni Ọjọgbọn Ọṣinbajo paṣẹ atunto ikọ agbenawoju awọn adigunjale, FSARS ti o ti di atobi-maṣee-bawi bayii nitori oniruru ẹsun iwa ibajẹ ti wọn fi n kan wọn.",negation,implicit_contradiction,explicit,no,no,no,Claim says citizens refused to praise Osinbajo; evidence states Nigerians were applauding him for actions taken while acting for Buhari.
afrifact_data_culture_yoruba_383,yoruba,refutes,"Àwọn fídíò tó ń lọ káàkiri orí Íńtánẹ́ẹ̀tì fi hàn pé àwọn òṣìṣẹ́ ń jẹ́ kí àwọn àlejò pàtàkì fi ọwọ́ kan òkúta náà ní ìkọ̀kọ̀, èyí tó fi hàn pé níṣe ni wọ́n ya àwọn kan sọ́tọ̀ tí òfin náà ò lè múnáà sílò.","Yatọ si Ka'abah, awọn alalaji ko tun ni fọwọ kan okuta dudu ti a mọ si Hajar Aswad, ti wọn si tun gbọdọ fi aye ijina sira ẹni iwọn mita kan ati aabọ si ara wọn silẹ, lasiko ti wọn ba n ṣe ijọsin . Ọpọ musulumi ni ko ni lanfani lati kopa ninu Hajj tọdun yii, nitori bi Saudi ti kede pe, eeyan diẹ ni yoo kopa ninu ijọsin yii, to jẹ opo kan pataki ninu ẹsin Islam.",evidence_insufficient,possible_annotation_issue,ambiguous,no,uncertain,yes,"Evidence states pilgrims must not touch the Black Stone and must distance, but does not directly disprove alleged videos of special guests secretly touching it."
afrifact_data_culture_yoruba_431,yoruba,refutes,"Wọ́n fi ẹ̀sùn owó kíkójẹ àti ṣíṣẹ owó báṣubàṣụ kan Emir, ìdí nìyí tí wọ́n fi yọ ọ́ nípò.","Ninu atẹjade kan ti agbẹjọro agba, Abubakar Balarabe Mahmoud, fi sita l'orukọ igbimọ agbẹjọro fun Emir Sanusi, ni wọn ti sọ pe awọn n ṣiṣẹ niluu Kano ati Abuja lọwọlọwọ lati pe ẹjọ, ayaafi ti wọn ba tu Emir naa silẹ ni ihamọ ni kiakia ni ko ni i jẹ ki awọn o gbe igbesẹ nilan ofin. Igbimọ naa to ṣapejuwe lile Emir Sanusi kuro niluu Kano lẹyin ti wọn rọ ọ l'oye, gẹgẹ bi nkan ti ko ba ode oni mu sọ pe ko si ninu ofin Naijiria. Ati wi pe ile ẹjọ Kotẹmilọrun l'orilẹ-ede Naijiria sọ ọ ni gbangba pe iru igbesẹ bẹ ko ba ofin mu, lasiko ti ijọba ipinlẹ Kebbi rọ Emir ilu Kebbi l'oye. Wọn tẹsiwaju lati sọ pe ""ko si igba kankan ti ijọba ipinlẹ Kano fi iwe ranṣẹ tabi pe Emir si akiyesi lori ẹsun aigbọran si awọn alaṣẹ, ati kikuna lati maa lọ fun ipade ati eto ti ijọba ba gbe kalẹ, ti wọn fi kan an. ",evidence_insufficient,possible_annotation_issue,ambiguous,no,uncertain,yes,"Evidence discusses legal challenge, detention and allegations of insubordination/failure to attend meetings; it does not directly resolve the claim of corruption or misappropriation as removal reason."
afrifact_data_culture_yoruba_548,yoruba,refutes,Olóyè Ọbásanjọ́ jẹ́ ọ̀kan lára àwọn ọ̀gagun tí wọ́n fi ipá yọ kúrò nínú ipò. Ó sì ti dé ìgbà mẹ́ta tí Ọbásanjọ́ jẹ́ Ààrẹ orílẹ̀-èdè Nàìjíríà.,"Ile iwe Saint David Ebenezer School ni Ibogun ni oloye obasanjo ti ka iwa alakobere( primary school education),ni odun 1948. Oloye Obasanjo jé ògágun tó tifèyìntì kúrò nínú iṣẹ́ Ológun ilè Nàìjíríà ati olóṣèlú ọmọ ilè . Oun ni lati odún títí dé ọdún . Èyí ni ìgbà iketa tí Obasanjo yíò jé Ààre orílè-èdè Nàìjírìa.",possible_annotation_issue,evidence_insufficient,ambiguous,uncertain,uncertain,yes,Evidence is malformed/incomplete and itself contains wording that appears to say this would be Obasanjo's third time as president; reliable refutation is difficult.
afrifact_data_culture_yoruba_557,yoruba,refutes,Oríṣi Gaàrí kan ló wà nílẹ̀ Yorùbá. Èyí sì ni Gaàrí ìjẹ̀bú.,"Garri flour Cooked garri ( ) on a plate in Cameroon Whole cassava tubers Peeled cassava pieces Ní ẹkùn ìwọ̀ oòrùn , gaàrí (tí a tún mọ̀ sí gari , galli , tàbí gali ) ó jẹ́ ìyẹ̀fun tí a rí láti ara ẹ̀gẹ́. Nínú èdè , gaàrí túmọ̀ sí ìyẹ̀fun ti , , , , , àti . Fún àpẹẹrẹ, garin dawa jẹ́ èyí tí a rí láti ara , garin masara àti garin alkama jẹ́ èyí tí a rí láti àti wíìtì bákan náà, nígbà tí garin magani jẹ́ irinṣẹ́ ìyẹ̀fun. A máa ń pò ó papọ̀ mọ́ omi tútù àti omi gbígbóná ní àwọn orílẹ̀-èdè kan ní ilẹ̀ bíi: , , , , , àti . Ẹ̀gẹ́, èyí tí ó jẹ́ egbò tí a ti rí gaárí , ó kún fún àwọn èròjà tí ó pọ̀. Gaàrí tún fara jọ tí orílẹ̀-èdè , tí wọ́n máa ń lò láti pèsè àwọn onírúurú oúnjẹ, pàápàá jùlọ ní Ìpínlẹ̀ . Bí a ṣe ń ṣe é [ | ] Process of garri making Láti ṣe ìyẹ̀fun gaàrí , a máa wú , bẹ ẹ́, lẹ́yìn náà ni a máa fọ̀ ọ́ tónítóní kí á tó gún un. A le fi òróró sí i kí a tó dà á sínú àpò, lẹ́yìn náà ni a máa gbé e sí abẹ̀ ẹ̀rọ tí a fi máa fún un fún wákàtí kan sí wákàtí mẹ́rìnlélógún láti fún àwọn omi tí ó wà lára rẹ̀. Lẹ́yìn tí ó bá gbẹ tán ni a máa yan án nínú agbada ńlá, a le fi òróró sí i tàbí kí a má fi sí i. Lẹ́yìn èyí ni ó máa fún wa ní Gaàrí, a le rọ́ pamọ́ fún ọjọ́ pípẹ́. A le gún un lódó tàbí kí á lọ̀ ọ́ lẹ́rọ láti fún wa ní ìyẹ̀fun. Gaàrí pín sí oríṣiríṣi, lébú, èyí tí kò kúná àti èyí tí kò kùnà púpọ̀, èyí tí a le lò láti ṣe onírúurú oúnjẹ.",numerical_mismatch,implicit_contradiction,implicit,no,uncertain,no,Claim says only one type of garri exists; evidence states garri is divided into multiple varieties.
afrifact_data_culture_yoruba_566,yoruba,refutes,"Bí ifá tí a bá dá fún èèyàn bá ṣè aburú nìkan ni ẹbọ rírú ṣe pàtàkì. Àìjẹ́ bẹ́ẹ̀, kò nílò.","Ẹbọ rírú se pàtàkì fún ẹni tí a bá dá ifá fún. bí ifá tí a dá fún ènìyàn bá se rere tàbí búbúru, oní tọ̀hùn ni lati rúbọ kí ohun tí ó dá ifá sí náà ó lè baà dará: lọ́nà kìní:- Ẹbọ ifá jẹ́ ounjẹ fún òrìṣà tí ifá bá so wí pé kí á rúbọ, Fun àpẹẹrẹ, tí ènìyàn bá fẹ́ se nǹkan. ti o ba bèrè lọ́wọ́ ifá, wọ́n le sọ pé ki o lọ rubọ fun ògun, Ẹbọ ifá jẹ́ ètùtù pàtàkì nítorí tí Babaláwo bání kí ènìyàn se nǹkan óní láti se é, ki òun pàápàá ólè ba à ni ìgboyà wípé àteégún-àteésà, nítori èyí ní àwọn babaláwo fi máa ńwí fún ẹní tí a ní kí ó rúbọ̣ pé kí ó wá oúnjẹ fún àwọn aládùgbóó rẹ.",boundary_condition,negation,explicit,no,no,no,Claim restricts sacrifice to bad Ifa outcomes; evidence says sacrifice is important whether the divination outcome is good or bad.
afrifact_data_culture_yoruba_578,yoruba,refutes,"Calcium, carbohydrate, àti proteins ni àwọn èròjà inú àkàrà tó lè múni sanra.","Akara ní àwọn èròjà láti múni sanra, torí àwọn èròjà proteins, vitamins àti minerals bí i calcium, iron àti zinc inú rẹ̀. Àmọ́ ṣáá, àwọn èròjà inú rẹ̀ lè ti dínkù nítorí àwọn àfikún kan bí iphytates, fibers, lectins, polyphenols àti tannins tí kì í ṣe ara lóore.",entity_attribute_mismatch,implicit_contradiction,explicit,no,no,no,"Claim lists calcium, carbohydrate and proteins; evidence lists proteins, vitamins and minerals such as calcium, iron and zinc, not carbohydrate."
afrifact_data_culture_yoruba_635,yoruba,refutes,"Ní ìwọ̀ oòrùn ìtà Ipetumodu ni ilé ìwé Federal Government Girl's College wà, èyí tó jẹ́ aládàá ní.","Ipetumodu jẹ́ ìlú ńlá kan ní ilẹ̀ Yorùbá ní apá Ìwọ-oòrùn Gúúsù ilẹ̀ , ó sì jẹ́ ìlú pàtàkì kan ní tí ó sì jẹ́ olú ìlú . Ìlú yìí ní ilé-ẹ̀kọ́ gíga aládàáni kan tí orúkọ rẹ̀ ń jẹ́ Oduduwa University àti ilé-ìwé gírámà márùn-ún, tí ó jẹ́ ti ìjọba àti ilé-ìwé Federal Government Girls' College",role_relation_mismatch,entity_attribute_mismatch,implicit,no,uncertain,uncertain,"Claim describes Federal Government Girls' College as private and adds a location relation; evidence distinguishes a private university from government/Federal Government Girls' College, but wording is imperfect."
afrifact_data_culture_yoruba_749,yoruba,refutes,"Délànà gbà pé orírun gidi àwọn Ẹ̀gbá wá láti Ọ̀yọ́, ó sì fi kún un pé ọmọ àlè tàbí ẹrú ni Ẹ̀gbá tí kò ní orírun láti Ọ̀yọ́.","Ọ̀pọ̀lọpọ̀ onímọ̀ ló ti sọ nípa bí a ti se tẹ ilẹ̀ Ẹ̀gbá dó, tí wọn sí tì gbé àbọ̀ ìwádìí wọn fún aráyé rí. Ara irú àwọn báyìí ni Samuel Johnson, Sàbírì Bíòbákú, Ajísafẹ́, Délànà àti àwọn mìíràn tó jẹ́ òpìtàn àtẹnudẹ́nu. Johnson gbà pé Ọ̀yọ́ ni àwọn Ẹ̀gbá ti wá. O ní àwọn ẹ̀yà Ẹ̀gbá tòótọ́ lé ti orírun wọn de Ọ̀yọ́. ó tún tẹ̀ síwájú síi pé ọmọ àlè tàbí ẹrú ni Ẹ̀gbá tí kò bá ní orírun láti Ọ̀yọ́. ",entity_attribute_mismatch,role_relation_mismatch,explicit,no,no,no,Claim attributes the Oyo-origin view and illegitimate/slave statement to Delana; evidence explicitly attributes them to Johnson.
